player_id,name,season,salary,team,position,draft_pick,draft_year
abrinal01,Alex Abrines,2017-18,5725000,Oklahoma City Thunder,Shooting Guard,32nd overall,2013
acyqu01,Quincy Acy,2017-18,1709538,Brooklyn Nets,Power Forward and Small Forward,37th overall,2012
adamsst01,Steven Adams,2017-18,22471910,Oklahoma City Thunder,Center,12th overall,2013
adebaba01,Bam Adebayo,2017-18,2490360,Miami Heat,Center,14th overall,2017
afflaar01,Arron Afflalo,2017-18,1500000,Sacramento Kings,Shooting Guard and Small Forward,27th overall,2007
afflaar01,Arron Afflalo,2017-18,1471382,Orlando Magic,Shooting Guard and Small Forward,27th overall,2007
ajincal01,Alexis Ajinca,2017-18,4961798,New Orleans Pelicans,Power Forward and Center,20th overall,2008
aldrico01,Cole Aldrich,2017-18,7300000,Minnesota Timberwolves,Center,11th overall,2010
aldrila01,LaMarcus Aldridge,2017-18,21461010,San Antonio Spurs,Power Forward and Center,2nd overall,2006
allenja01,Jarrett Allen,2017-18,1713720,Brooklyn Nets,Center,22nd overall,2017
allento01,Tony Allen,2017-18,1471382,Chicago Bulls,Shooting Guard and Small Forward and Point Guard,25th overall,2004
aminual01,Al-Farouq Aminu,2017-18,7319035,Portland Trail Blazers,Power Forward and Small Forward,8th overall,2010
anderju01,Justin Anderson,2017-18,1579440,Philadelphia 76ers,Small Forward,21st overall,2015
anderky01,Kyle Anderson,2017-18,2151704,San Antonio Spurs,Small Forward,30th overall,2014
anderry01,Ryan Anderson,2017-18,19578455,Houston Rockets,Power Forward,21st overall,2008
anigbik01,Ike Anigbogu,2017-18,950000,Indiana Pacers,Center,47th overall,2017
antetgi01,Giannis Antetokounmpo,2017-18,22471910,Milwaukee Bucks,Point Guard and Power Forward and Small Forward and Shooting Guard,15th overall,2013
anthoca01,Carmelo Anthony,2017-18,26243760,Oklahoma City Thunder,Small Forward and Power Forward,3rd overall,2003
anunoog01,OG Anunoby,2017-18,1645200,Toronto Raptors,Small Forward,23rd overall,2017
arizatr01,Trevor Ariza,2017-18,7420912,Houston Rockets,Small Forward and Shooting Guard,43rd overall,2004
arthuda01,Darrell Arthur,2017-18,7464912,Denver Nuggets,Small Forward and Power Forward,27th overall,2008
asikom01,Omer Asik,2017-18,10595505,Chicago Bulls,Center,36th overall,2008
augusdj01,D.J. Augustin,2017-18,7250000,Orlando Magic,Point Guard,9th overall,2008
babbilu01,Luke Babbitt,2017-18,1974159,Miami Heat,Small Forward and Power Forward,16th overall,2010
bacondw01,Dwayne Bacon,2017-18,815615,Charlotte Hornets,Shooting Guard,40th overall,2017
bakerro01,Ron Baker,2017-18,4328000,New York Knicks,Shooting Guard,,
balllo01,Lonzo Ball,2017-18,6286560,Los Angeles Lakers,Point Guard,2nd overall,2017
barbole01,Leandro Barbosa,2017-18,500000,Phoenix Suns,Point Guard and Shooting Guard,28th overall,2003
bareajo01,J.J. Barea,2017-18,3903900,Dallas Mavericks,Point Guard and Shooting Guard,,
barneha02,Harrison Barnes,2017-18,23112004,Dallas Mavericks,Power Forward and Small Forward,7th overall,2012
barnema02,Matt Barnes,2017-18,2133542,Sacramento Kings,Small Forward and Power Forward,46th overall,2002
bartowi01,Will Barton,2017-18,3533333,Denver Nuggets,Shooting Guard,40th overall,2012
batumni01,Nicolas Batum,2017-18,22434783,Charlotte Hornets,Small Forward and Shooting Guard,25th overall,2008
bayleje01,Jerryd Bayless,2017-18,9000000,Philadelphia 76ers,Point Guard and Shooting Guard,11th overall,2008
baynear01,Aron Baynes,2017-18,4328000,Boston Celtics,Center,,
bazemke01,Kent Bazemore,2017-18,16910113,Atlanta Hawks,Small Forward and Shooting Guard,,
bealbr01,Bradley Beal,2017-18,23775506,Washington Wizards,Shooting Guard,3rd overall,2012
beaslma01,Malik Beasley,2017-18,1700640,Denver Nuggets,Shooting Guard,19th overall,2016
beaslmi01,Michael Beasley,2017-18,1471382,New York Knicks,Power Forward and Small Forward,2nd overall,2008
belinma01,Marco Belinelli,2017-18,6306060,Atlanta Hawks,Shooting Guard and Small Forward,18th overall,2007
belinma01,Marco Belinelli,2017-18,776217,Philadelphia 76ers,Shooting Guard and Small Forward,18th overall,2007
belljo01,Jordan Bell,2017-18,815615,Golden State Warriors,Center,38th overall,2017
bembrde01,DeAndre' Bembry,2017-18,1567200,Atlanta Hawks,Shooting Guard and Small Forward,21st overall,2016
bendedr01,Dragan Bender,2017-18,4468800,Phoenix Suns,Power Forward,4th overall,2016
bertada01,Davis Bertans,2017-18,1312611,San Antonio Spurs,Power Forward,42nd overall,2011
beverpa01,Patrick Beverley,2017-18,5513514,Los Angeles Clippers,Point Guard and Shooting Guard,42nd overall,2009
birchkh01,Khem Birch,2017-18,815615,Orlando Magic,Center,,
biyombi01,Bismack Biyombo,2017-18,17000000,Orlando Magic,Center,7th overall,2011
bjeline01,Nemanja Bjelica,2017-18,3949999,Minnesota Timberwolves,Power Forward,35th overall,2010
blackta01,Tarik Black,2017-18,3290000,Houston Rockets,Center,,
bledser01,Eric Bledsoe,2017-18,14500000,Milwaukee Bucks,Point Guard,18th overall,2010
bogdabo01,Bogdan Bogdanovic,2017-18,9470614,Sacramento Kings,Shooting Guard,27th overall,2014
bogdabo02,Bojan Bogdanovic,2017-18,10500000,Indiana Pacers,Small Forward,31st overall,2011
bogutan01,Andrew Bogut,2017-18,1105123,Los Angeles Lakers,Power Forward and Center,1st overall,2005
bookede01,Devin Booker,2017-18,2319360,Phoenix Suns,Shooting Guard,13th overall,2015
booketr01,Trevor Booker,2017-18,8725000,Philadelphia 76ers,Power Forward,23rd overall,2010
booketr01,Trevor Booker,2017-18,332516,Indiana Pacers,Power Forward,23rd overall,2010
boshch01,Chris Bosh,2017-18,25289390,Miami Heat,Power Forward and Center,4th overall,2003
bradlav01,Avery Bradley,2017-18,8808989,Los Angeles Clippers,Point Guard and Shooting Guard,19th overall,2010
bradlto01,Tony Bradley,2017-18,1414920,Utah Jazz,Center,28th overall,2017
breweco01,Corey Brewer,2017-18,6879366,Los Angeles Lakers,Shooting Guard and Small Forward,7th overall,2007
breweco01,Corey Brewer,2017-18,340829,Oklahoma City Thunder,Shooting Guard and Small Forward,7th overall,2007
brogdma01,Malcolm Brogdon,2017-18,1312611,Milwaukee Bucks,Shooting Guard and Point Guard,36th overall,2016
brookaa01,Aaron Brooks,2017-18,1471382,Minnesota Timberwolves,Point Guard,26th overall,2007
brookdi01,Dillon Brooks,2017-18,815615,Memphis Grizzlies,Small Forward,45th overall,2017
brookma01,MarShon Brooks,2017-18,332477,Memphis Grizzlies,Shooting Guard,25th overall,2011
brownbo02,Bobby Brown,2017-18,1230186,Houston Rockets,Point Guard and Shooting Guard,,
