player_id,name,season,salary,team,position,draft_pick,draft_year
abdelal01,Alaa Abdelnaby,1990-91,395000,Portland Trail Blazers,Power Forward,25th overall,1990
abdelal01,Alaa Abdelnaby,1991-92,494000,Portland Trail Blazers,Power Forward,25th overall,1990
abdelal01,Alaa Abdelnaby,1992-93,500000,Boston Celtics,Power Forward,25th overall,1990
abdelal01,Alaa Abdelnaby,1993-94,805000,Boston Celtics,Power Forward,25th overall,1990
abdelal01,Alaa Abdelnaby,1994-95,650000,Sacramento Kings,Power Forward,25th overall,1990
abdulka01,Kareem Abdul-Jabbar,1984-85,1530000,Los Angeles Lakers,Center,1st overall,1969
abdulka01,Kareem Abdul-Jabbar,1985-86,2030000,Los Angeles Lakers,Center,1st overall,1969
abdulka01,Kareem Abdul-Jabbar,1987-88,2000000,Los Angeles Lakers,Center,1st overall,1969
abdulka01,Kareem Abdul-Jabbar,1988-89,3000000,Los Angeles Lakers,Center,1st overall,1969
abdulma02,Mahmoud Abdul-Rauf,1990-91,1660000,Denver Nuggets,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,1991-92,2008000,Denver Nuggets,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,1992-93,2358000,Denver Nuggets,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,1993-94,1825000,Denver Nuggets,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,1994-95,2200000,Denver Nuggets,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,1995-96,2600000,Denver Nuggets,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,1996-97,3100000,Sacramento Kings,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,1997-98,3300000,Sacramento Kings,Point Guard,3rd overall,1990
abdulma02,Mahmoud Abdul-Rauf,2000-01,798500,Vancouver Grizzlies,Point Guard,3rd overall,1990
abdulta01,Tariq Abdul-Wahad,1997-98,1226880,Sacramento Kings,Shooting Guard,11th overall,1997
abdulta01,Tariq Abdul-Wahad,1998-99,1411000,Sacramento Kings,Shooting Guard,11th overall,1997
abdulta01,Tariq Abdul-Wahad,1999-00,1594920,Denver Nuggets,Shooting Guard,11th overall,1997
abdulta01,Tariq Abdul-Wahad,2000-01,4500000,Denver Nuggets,Shooting Guard,11th overall,1997
abdulta01,Tariq Abdul-Wahad,2001-02,5062500,Denver Nuggets,Shooting Guard,11th overall,1997
