county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,week_of_year,weekday
San Diego,2021-01-01,1554,56809,688,40698,845,15850,17,208,1461,54650,74,1124,1476,55774,1,Friday
San Diego,2021-01-02,3904,60713,1450,42148,2452,18302,1,209,3769,58295,127,1251,3772,59546,1,Saturday
San Diego,2021-01-03,935,61648,674,42822,260,18562,1,210,924,59209,11,1262,925,60471,1,Sunday
San Diego,2021-01-04,4420,66068,2621,45443,1789,20351,6,216,3938,62695,461,1723,3947,64418,2,Monday
San Diego,2021-01-05,4621,70689,2369,47812,2246,22597,3,219,3936,65975,662,2385,3942,68360,2,Tuesday
San Diego,2021-01-06,5240,75929,2520,50332,2715,25312,0,219,3895,68571,1303,3688,3899,72259,2,Wednesday
San Diego,2021-01-07,6008,81937,3225,53557,2778,28090,2,221,3677,69969,2288,5976,3686,75945,2,Thursday
San Diego,2021-01-08,8394,90331,5287,58844,3098,31188,4,225,4384,70420,3947,9923,4398,80343,2,Friday
San Diego,2021-01-09,3715,94046,2076,60920,1635,32823,2,227,2082,70912,1599,11522,2091,82434,2,Saturday
San Diego,2021-01-10,1997,96043,1367,62287,628,33451,0,227,824,70597,1142,12664,827,83261,2,Sunday
San Diego,2021-01-11,10717,106760,6038,68325,4673,38124,1,228,7061,74074,3597,16261,7074,90335,3,Monday
San Diego,2021-01-12,11847,118607,5589,73914,6252,44376,1,229,8248,78831,3511,19772,8268,98603,3,Tuesday
San Diego,2021-01-13,12199,130806,5405,79319,6786,51162,1,230,9342,85393,2790,22562,9352,107955,3,Wednesday
San Diego,2021-01-14,12652,143458,4811,84130,7832,58994,1,231,10348,93665,2094,24656,10366,118321,3,Thursday
San Diego,2021-01-15,15458,158916,5523,89653,9923,68917,2,233,12577,103530,2757,27413,12622,130943,3,Friday
San Diego,2021-01-16,11178,170094,3899,93552,7274,76191,1,234,9401,111248,1701,29114,9419,140362,3,Saturday
San Diego,2021-01-17,8760,178854,2536,96088,6222,82413,0,234,7782,118130,911,30025,7793,148155,3,Sunday
San Diego,2021-01-18,13175,192029,6498,102586,6667,89080,1,235,10060,125242,2994,33019,10106,158261,4,Monday
San Diego,2021-01-19,15341,207370,6085,108671,9253,98333,1,236,11683,133412,3554,36573,11724,169985,4,Tuesday
San Diego,2021-01-20,18803,226173,6591,115262,12208,110541,0,236,15173,145098,3531,40104,15217,185202,4,Wednesday
San Diego,2021-01-21,17983,244156,6088,121350,11887,122428,3,239,16159,159583,1737,41841,16222,201424,4,Thursday
San Diego,2021-01-22,18008,262164,4854,126204,13144,135572,4,243,15586,172910,2315,44156,15642,217066,4,Friday
San Diego,2021-01-23,14672,276836,5348,131552,9316,144888,1,244,12245,182863,2337,46493,12290,229356,4,Saturday
San Diego,2021-01-24,12022,288858,3365,134917,8656,153544,0,244,10840,192616,1118,47611,10871,240227,4,Sunday
San Diego,2021-01-25,12681,301539,5969,140886,6701,160245,2,246,9324,198694,3285,50896,9363,249590,5,Monday
San Diego,2021-01-26,15582,317121,8036,148922,7534,167779,2,248,11849,206927,3647,54543,11880,261470,5,Tuesday
San Diego,2021-01-27,21201,338322,8418,157340,12768,180547,2,250,17815,221493,3305,57848,17871,279341,5,Wednesday
San Diego,2021-01-28,22076,360398,8183,165523,13882,194429,4,254,19387,238273,2635,60483,19415,298756,5,Thursday
San Diego,2021-01-29,20248,380646,6842,172365,13394,207823,1,255,17321,252798,2826,63309,17351,316107,5,Friday
San Diego,2021-01-30,15929,396575,3653,176018,12272,220095,0,255,13032,263039,2832,66141,13073,329180,5,Saturday
San Diego,2021-01-31,14827,411402,5773,181791,9050,229145,0,255,14240,276746,548,66689,14255,343435,5,Sunday
San Diego,2021-02-01,22150,433552,8077,189868,14044,243189,17,272,18000,290813,3987,70676,18054,361489,6,Monday
San Diego,2021-02-02,23858,457410,8926,198794,14918,258107,2,274,20052,307199,3707,74383,20093,381582,6,Tuesday
San Diego,2021-02-03,27897,485307,11813,210607,16065,274172,1,275,23086,325758,4638,79021,23197,404779,6,Wednesday
San Diego,2021-02-04,24873,510180,10311,220918,14552,288724,1,276,19916,340943,4852,83873,20037,424816,6,Thursday
San Diego,2021-02-05,25333,535513,8986,229904,16333,305057,6,282,18109,352214,7021,90894,18292,443108,6,Friday
San Diego,2021-02-06,21110,556623,8710,238614,12386,317443,2,284,17364,366081,3580,94474,17447,460555,6,Saturday
San Diego,2021-02-07,12305,568928,5458,244072,6841,324284,3,287,10079,374089,2122,96596,10130,470685,6,Sunday
San Diego,2021-02-08,20613,589541,8726,252798,11877,336161,4,291,12616,379075,7828,104424,12814,483499,7,Monday
San Diego,2021-02-09,21089,610630,8695,261493,12383,348544,4,295,13202,384830,7669,112093,13424,496923,7,Tuesday
San Diego,2021-02-10,23642,634272,9655,271148,13970,362514,1,296,13853,389469,9583,121676,14222,511145,7,Wednesday
San Diego,2021-02-11,24457,658729,10476,281624,13970,376484,4,300,12711,390986,11504,133180,13021,524166,7,Thursday
San Diego,2021-02-12,23996,682725,7579,289203,16409,392893,3,303,11552,390824,12199,145379,12037,536203,7,Friday
San Diego,2021-02-13,20048,702773,9065,298268,10973,403866,0,303,10536,392331,9333,154712,10840,547043,7,Saturday
San Diego,2021-02-14,11107,713880,7468,305736,3635,407501,1,304,5826,393369,5126,159838,6164,553207,7,Sunday
San Diego,2021-02-15,15357,729237,7751,313487,7592,415093,3,307,7378,393519,7748,167586,7898,561105,8,Monday
San Diego,2021-02-16,19556,748793,11403,324890,8138,423231,1,308,8981,392997,10320,177906,9798,570903,8,Tuesday
San Diego,2021-02-17,23915,772708,11220,336110,12682,435913,5,313,7915,385647,15666,193572,8316,579219,8,Wednesday
San Diego,2021-02-18,24495,797203,12582,348692,11900,447813,2,315,7829,377677,16294,209866,8324,587543,8,Thursday
San Diego,2021-02-19,16404,813607,11319,360011,5076,452889,0,315,6454,374735,9688,219554,6746,594289,8,Friday
San Diego,2021-02-20,10719,824326,6630,366641,4075,456964,1,316,5665,375968,4847,224401,6080,600369,8,Saturday
San Diego,2021-02-21,12089,836415,10404,377045,1679,458643,1,317,5101,374633,6778,231179,5443,605812,8,Sunday
San Diego,2021-02-22,13419,849834,11261,388306,2151,460794,3,320,5944,373691,7205,238384,6263,612075,9,Monday
San Diego,2021-02-23,26300,876134,14660,402966,11622,472416,4,324,9291,367399,16579,254963,10287,622362,9,Tuesday
San Diego,2021-02-24,29755,905889,13302,416268,16438,488854,3,327,6709,352652,22539,277502,7792,630154,9,Wednesday
San Diego,2021-02-25,33911,939800,15207,431475,18686,507540,2,329,9796,340223,23468,300970,11039,641193,9,Thursday
San Diego,2021-02-26,34094,973894,12831,444306,21249,528789,2,331,11873,331429,21553,322523,12759,653952,9,Friday
San Diego,2021-02-27,21425,995319,9704,454010,11708,540497,4,335,10969,332845,10117,332640,11533,665485,9,Saturday
San Diego,2021-02-28,15567,1010886,10110,464120,5451,545948,2,337,9207,336595,5937,338577,9687,675172,9,Sunday
San Diego,2021-03-01,25875,1036761,14994,479114,10814,556762,49,386,14979,342098,10254,348831,15757,690929,10,Monday
San Diego,2021-03-02,27257,1064018,14662,493776,12564,569326,14,400,12913,342088,13936,362767,13926,704855,10,Tuesday
San Diego,2021-03-03,34882,1098900,16515,510291,18330,587656,21,421,14026,337095,20247,383014,15254,720109,10,Wednesday
San Diego,2021-03-04,29086,1127986,14589,524880,14474,602130,13,434,12673,335003,15987,399001,13895,734004,10,Thursday
San Diego,2021-03-05,29660,1157646,15168,540048,14384,616514,99,533,13398,333836,15737,414738,14570,748574,10,Friday
San Diego,2021-03-06,23901,1181547,9690,549738,13482,629996,722,1255,10410,332530,13150,427888,11844,760418,10,Saturday
San Diego,2021-03-07,18599,1200146,9485,559223,8436,638432,672,1927,6869,329100,11459,439347,8029,768447,10,Sunday
San Diego,2021-03-08,23473,1223619,11404,570627,11135,649567,928,2855,11308,330167,11803,451150,12870,781317,11,Monday
San Diego,2021-03-09,26631,1250250,12332,582959,12508,662075,1784,4639,10466,327234,15788,466938,12855,794172,11,Tuesday
San Diego,2021-03-10,26032,1276282,10929,593888,12647,674722,2446,7085,10074,324719,15588,482526,13073,807245,11,Wednesday
San Diego,2021-03-11,29228,1305510,11385,605273,14216,688938,3621,10706,10000,319981,18831,501357,14093,821338,11,Thursday
San Diego,2021-03-12,27714,1333224,9732,615005,14760,703698,3212,13918,9861,315994,17524,518881,13537,834875,11,Friday
San Diego,2021-03-13,26388,1359612,7423,622428,17138,720836,1817,15735,10049,312393,15992,534873,12391,847266,11,Saturday
San Diego,2021-03-14,13812,1373424,5533,627961,7537,728373,741,16476,4759,309322,8836,543709,5765,853031,11,Sunday
San Diego,2021-03-15,22462,1395886,10427,638388,11177,739550,844,17320,9053,306598,13034,556743,10310,863341,12,Monday
San Diego,2021-03-16,30450,1426336,16055,654443,13922,753472,459,17779,15547,308508,14540,571283,16450,879791,12,Tuesday
San Diego,2021-03-17,27343,1453679,12612,667055,13963,767435,758,18537,17190,316934,9866,581149,18292,898083,12,Wednesday
San Diego,2021-03-18,32243,1485922,18096,685151,13174,780609,971,19508,17194,320678,14710,595859,18454,916537,12,Thursday
San Diego,2021-03-19,31196,1517118,14959,700110,15133,795742,1095,20603,19674,330376,11279,607138,20977,937514,12,Friday
San Diego,2021-03-20,28460,1545578,8774,708884,17861,813603,1821,22424,21747,347590,6499,613637,23713,961227,12,Saturday
San Diego,2021-03-21,16978,1562556,12317,721201,3925,817528,728,23152,7844,347339,8932,622569,8681,969908,12,Sunday
