Position,"Track Name",Artist,Streams,URL
1,abcdefu,GAYLE,4366234,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2,"Heat Waves","Glass Animals",4070501,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
3,"STAY (with Justin Bieber)","The Kid LAROI",4008917,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",3618350,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,"Easy On Me",Adele,3577950,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,"Cold Heart - PNAU Remix","Elton John",3432751,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",3369267,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,Sacrifice,"The Weeknd",2900947,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
9,Shivers,"Ed Sheeran",2698736,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
10,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",2673095,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
11,"Do It To It",ACRAZE,2522951,https://open.spotify.com/track/20on25jryn53hWghthWWW3
12,Pepas,Farruko,2370646,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
13,Infinity,"Jaymes Young",2355560,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
14,"Bad Habits","Ed Sheeran",2221483,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,"My Universe",Coldplay,2221050,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
16,Woman,"Doja Cat",2198449,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
17,Eazy,"The Game",2069628,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
18,"Fingers Crossed","Lauren Spencer-Smith",2052451,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
19,"good 4 u","Olivia Rodrigo",2042443,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20,Ghost,"Justin Bieber",1957543,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
21,"Kiss Me More (feat. SZA)","Doja Cat",1836186,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,"Where Are You Now","Lost Frequencies",1827899,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
23,Desesperados,"Rauw Alejandro",1797351,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
24,"I Love You So","The Walters",1759460,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
25,"Need to Know","Doja Cat",1749874,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
26,"Blinding Lights","The Weeknd",1717368,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
27,"Surface Pressure","Jessica Darrow",1709922,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
28,"The Motto",Tiësto,1665393,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
29,"MONTERO (Call Me By Your Name)","Lil Nas X",1665284,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
30,"Sweater Weather","The Neighbourhood",1660596,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
31,"love nwantiti (ah ah ah)",CKay,1654541,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
32,Yonaguni,"Bad Bunny",1653847,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
33,Softcore,"The Neighbourhood",1642965,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
34,Toxic,BoyWithUke,1630649,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
