Position,"Track Name",Artist,Streams,URL
1,abcdefu,GAYLE,4434356,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2,"Heat Waves","Glass Animals",4216833,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
3,"STAY (with Justin Bieber)","The Kid LAROI",4106867,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",3790425,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,"Easy On Me",Adele,3661291,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,"Cold Heart - PNAU Remix","Elton John",3556929,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",3453185,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",2834662,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
9,Sacrifice,"The Weeknd",2797381,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
10,Shivers,"Ed Sheeran",2738182,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,"Do It To It",ACRAZE,2562152,https://open.spotify.com/track/20on25jryn53hWghthWWW3
12,Infinity,"Jaymes Young",2430427,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
13,Pepas,Farruko,2429959,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
14,"Bad Habits","Ed Sheeran",2266036,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,"My Universe",Coldplay,2257742,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
16,Woman,"Doja Cat",2251065,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
17,"good 4 u","Olivia Rodrigo",2094589,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
18,"pushin P (feat. Young Thug)",Gunna,2072426,https://open.spotify.com/track/3LnpBazWpD31QMTn6LgVGv
19,"Fingers Crossed","Lauren Spencer-Smith",2066619,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
20,Ghost,"Justin Bieber",2037967,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
21,Desesperados,"Rauw Alejandro",1917809,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
22,"Kiss Me More (feat. SZA)","Doja Cat",1890512,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
23,"Where Are You Now","Lost Frequencies",1876915,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
24,"Need to Know","Doja Cat",1811025,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
25,"Surface Pressure","Jessica Darrow",1799990,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
26,"I Love You So","The Walters",1798875,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
27,"Blinding Lights","The Weeknd",1782490,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,Yonaguni,"Bad Bunny",1749911,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
29,"The Motto",Tiësto,1727134,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
30,"MONTERO (Call Me By Your Name)","Lil Nas X",1720609,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
31,"Sweater Weather","The Neighbourhood",1720102,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
32,Softcore,"The Neighbourhood",1704140,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
33,Toxic,BoyWithUke,1685781,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
34,"love nwantiti (ah ah ah)",CKay,1682871,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
35,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1653600,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
36,Lost,"Frank Ocean",1646211,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
37,"Mon Amour - Remix",zzoilo,1628142,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
38,"Oh My God",Adele,1624095,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
39,Eazy,"The Game",1614065,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
40,Beggin',Måneskin,1605432,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
41,"THATS WHAT I WANT","Lil Nas X",1605360,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
42,"Happier Than Ever","Billie Eilish",1571562,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
