Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,City,San Diego,Police,Police Sergeant,False,False,,97718,118123,,117691,160062,28354,14592,320699,13124,0,1971,16700,31795,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Police Sergeant,False,False,,97718,118123,,117691,187290,0,13331,318312,19977,0,0,16403,36380,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Retirement,Retirement Administrator,False,False,,77917,311168,,305000,0,0,12814,317814,0,0,24792,0,24792,N/A,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Fire-Rescue,Fire Engineer,False,False,,65728,79456,,35698,204462,37099,32022,309281,19049,0,0,19313,38362,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,88275,106829,,106829,154234,8639,37715,307417,6479,0,3373,15689,25541,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,88275,106829,,94451,157778,7929,40222,300380,22791,0,0,19305,42096,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Police Sergeant,False,False,,97718,118123,,117691,153702,8413,17808,297614,0,0,4254,16700,20954,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Emergency Medical Services,Fire Battalion Chief,False,False,,88275,106829,,87312,139105,15638,54084,296139,24733,0,0,6486,31219,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Office Of The Coo,Chief Operating Officer,False,False,,77917,311168,,219778,0,58760,17366,295904,30653,0,14286,0,44939,2.5% @ 55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Police Officer 2,False,False,,80517,97302,,96946,167835,10161,20221,295163,18318,0,0,7025,25343,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,88275,106829,,87517,153249,0,51665,292431,0,0,4024,8166,12190,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Office Of The Coo,Chief Operating Officer,False,False,,77917,311168,,228542,0,45665,5937,280144,24591,0,7279,16568,48438,2.5% @ 55,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Police Officer 2,False,False,,80517,97302,,96946,173736,3013,6003,279698,18242,0,0,16700,34942,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Police Officer 2,False,False,,80517,97302,,7373,146188,0,124375,277936,12855,0,1939,16700,31494,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
2020,City,San Diego,Police,Police Officer 2,False,False,,80517,97302,,96545,146729,68,26063,269405,22590,0,0,0,22590,3.0% @ 50,www.sandiego.gov,1411034,06/29/2021,San Diego,,False,
