ID,Name,City,Region,Applied,Admitted,Enrolled
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,124,44,12
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,50,16,3
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,58,33,11
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,61,27,8
ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,71,27,4
ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,80,21,5
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,86,27,5
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,97,32,4
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,134,35,6
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,28,11,4
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,106,38,5
ALEXANDER HAMILTON HIGH SCHOOL51525,ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,95,33,6
ALHAMBRA HIGH SCHOOL50050,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,118,38,10
ALISO NIGUEL HIGH SCHOOL51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,177,56,14
ALLIANCE DR OLGA MOHAN HIGH SC51779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,15,6,3
ALTA LOMA HIGH SCHOOL50077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,68,17,6
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,240,70,15
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,222,78,16
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,64,23,5
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,35,8,4
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,139,41,7
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,366,128,27
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,173,64,8
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,35,9,3
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,266,83,16
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,56,16,6
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,55,20,4
ATTACHED MIDDLE SCH JIANGXI U694449,ATTACHED MIDDLE SCH JIANGXI U,,,29,5,3
AZUSA HIGH SCHOOL50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,32,15,10
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,57,22,5
BASIS SCOTTSDALE CHARTER SCH30660,BASIS SCOTTSDALE CHARTER SCH,Scottsdale,AZ,22,18,4
BEIJING NATIONAL DAY SCHOOL694342,BEIJING NATIONAL DAY SCHOOL,,,155,53,10
